,Message,Spam_Status,num_words,message_len,num_uppercase_chars,num_uppercase_words,contains_free_or_win
151,yup thk cine better co need go plaza mah,ham,15,59,1,0,0
152,ok ur typic repli,ham,4,25,2,0,0
153,per request mell mell oru minnaminungint nurungu vettam set callertun caller press copi friend callertun,ham,26,160,10,0,0
154,everywh dirt floor window even shirt sometim open mouth come flow dream world without half chore time joy lot tv show see guess like thing must exist like rain hail mist time done becom one,ham,81,384,5,0,1
155,aaooooright work,ham,5,28,1,0,0
156,leav hou,ham,6,27,1,0,0
157,hello love get interview today happi good boy think miss,ham,33,157,7,0,0
158,custom servic annonc new year deliveri wait plea call arrang deliveri,spam,19,124,5,0,0
159,winner u special select receiv cash holiday flight inc speak live oper claim,spam,28,146,2,0,1
160,keep safe need miss alreadi envi everyon see real life,ham,25,115,4,0,0
161,new car hou parent new job hand,ham,14,64,1,0,0
162,love excit day spend make happi,ham,21,85,3,0,0
163,pl stop bootyd f invit friend repli ye see www sm ac u bootyd stop send stop frnd,spam,31,152,31,8,0
164,bangbab ur order way u receiv servic msg download ur content u goto wap bangb tv ur mobil internet servic menu,spam,31,155,20,3,0
165,place ur point e cultur modul alreadi,ham,10,51,1,0,0
166,urgent tri contact last weekend draw show prize guarant call claim code valid hr,spam,28,157,22,2,0
167,hi frnd best way avoid missunderstd wit belov one,ham,14,74,1,0,0
168,great escap fanci bridg need lager see tomo,ham,13,67,3,0,0
169,ye complet form clark also utter wast,ham,11,59,1,0,0
170,sir need axi bank account bank address,ham,10,50,10,2,0
171,hmmm thk sure got time hop ard ya go free abt muz call u discuss liao,ham,20,94,4,0,1
172,time come later,ham,6,33,1,0,0
173,bloodi hell cant believ forgot surnam mr ill give u clue spanish begin,ham,20,105,3,0,0
174,well gonna finish bath good fine night,ham,13,61,2,0,0
175,let know got money carlo make call,ham,15,65,1,0,0
176,u still go mall,ham,6,26,1,0,0
177,turn friend stay whole show back til lt gt feel free go ahead smoke lt gt worth,ham,30,146,1,0,1
178,text doesnt repli let know log,ham,16,66,2,0,0
179,hi spoke maneesha v like know satisfi experi repli toll free ye,ham,26,126,17,1,1
180,lift hope offer money need especi end month approach hurt studi anyway gr weekend,ham,31,159,4,0,0
181,lol u trust,ham,6,23,2,0,0
182,ok gentleman treat digniti respect,ham,13,65,1,0,0
183,guy close,ham,5,24,1,0,0
184,go noth great bye,ham,5,26,1,0,0
185,hello handsom find job lazi work toward get back net mummi boytoy miss,ham,27,152,6,0,0
186,haha awesom minut,ham,7,34,1,0,0
187,plea call custom servic repr freephon pm guarant cash prize,spam,27,149,13,2,1
188,got xma radio time get,ham,13,55,3,0,0
189,ju reach home go bath first si use net tell u finish k,ham,19,88,3,0,0
190,uniqu enough find th august www areyouuniqu co uk,spam,13,72,3,0,0
191,sorri join leagu peopl dont keep touch mean great deal friend time even great person cost great week,ham,40,185,5,0,0
192,hi final complet cour,ham,6,37,1,0,0
193,stop howev suggest stay someon abl give everi stool,ham,22,111,2,0,0
194,hope settl new school year wishin gr day,ham,20,92,3,0,0
195,gud mrng dear hav nice day,ham,7,28,1,0,0
196,u got person stori,ham,6,28,1,0,0
197,hamster dead hey tmr meet pm orchard mrt,ham,14,64,1,0,0
198,hi kate even hope see tomorrow bit bloodi babyjontet txt back u xxx,ham,29,131,4,0,0
199,found enc lt gt,ham,8,40,4,1,0
200,sent lt gt buck,ham,6,28,1,0,0
201,hello darlin ive finish colleg txt u finish u love kate xxx,ham,18,84,2,0,0
202,account refil success inr lt decim gt keralacircl prepaid account balanc rs lt decim gt transact id kr lt gt,ham,28,174,28,5,0
203,goodmorn sleep ga,ham,3,24,1,0,0
204,u call alter ok,ham,7,25,1,0,0
205,say like dat dun buy ericsson oso cannot oredi lar,ham,13,64,2,0,0
206,enter cabin pa said happi b day boss felt special askd lunch lunch invit apart went,ham,31,156,11,1,0
207,aight yo dat straight dogg,ham,5,28,1,0,0
208,plea give us connect today lt decim gt refund bill,ham,15,86,8,1,0
209,shoot big load get readi,ham,8,39,1,0,0
210,bruv hope great break reward semest,ham,15,73,2,0,0
211,home alway chat,ham,6,26,1,0,0
212,k k good studi well,ham,5,23,1,0,0
213,yup noe leh,ham,5,24,3,0,0
214,sound great home,ham,6,31,2,0,0
215,final match head toward draw predict,ham,9,58,1,0,0
216,tire slept well past night,ham,10,48,2,0,0
217,easi ah sen got select mean good,ham,8,41,1,0,0
218,take exam march,ham,8,32,1,0,0
219,yeah think use gt atm regist sure anyway help let know sure readi,ham,36,159,4,0,0
220,ok prob take ur time,ham,6,25,2,0,0
221,os call ubandu run without instal hard disk use os copi import file system give repair shop,ham,31,161,1,0,0
222,sorri call later,ham,5,22,2,0,0
223,u say leh cour noth happen lar say v romant ju bit lor thk e nite sceneri nice leh,ham,26,119,4,0,0
224,new mobil must go txt nokia collect today www tc biz optout gbp mtmsg,spam,27,143,20,4,0
225,would realli appreci call need someon talk,ham,13,69,2,0,0
226,u meet ur dream partner soon ur career flyng start find free txt horo follow ur star sign e g horo ari,spam,30,137,15,3,1
227,hey compani elama po mudyadhu,ham,5,30,1,0,0
228,life strict teacher bcoz teacher teach lesson amp conduct exam life first conduct exam amp teach lesson happi morn,ham,25,165,8,0,0
229,dear good morn,ham,8,34,1,0,0
230,get gandhipuram walk cross cut road right side lt gt street road turn first right,ham,21,109,2,0,0
231,dear go rubber place,ham,8,37,1,0,0
232,sorri batteri die yeah,ham,7,33,2,0,0
233,ye tv alway avail work place,ham,9,48,1,0,0
234,text meet someon sexi today u find date even flirt u join p repli name age eg sam msg recd thirtyeight penc,spam,33,157,17,3,0
235,print oh lt gt come upstair,ham,10,50,2,0,0
236,ill littl closer like bu stop street,ham,15,65,1,0,0
237,wil reach,ham,8,38,1,0,0
238,new theori argument win situat lose person dont argu ur friend kick amp say alway correct,ham,25,145,20,2,1
239,u secret admir look make contact u find r reveal think ur special call,spam,28,145,5,1,0
240,tomarrow final hear laptop case cant,ham,10,51,1,0,0
241,pleassssssseeee tel v avent done sportsx,ham,7,45,38,5,0
242,okay shine meant sign sound better,ham,16,83,3,0,0
243,although told u dat baig face watch realli like e watch u gave co fr u thanx everyth dat u done today touch,ham,36,155,2,0,0
244,u rememb old commerci,ham,7,37,1,0,0
245,late said websit dont slipper,ham,18,78,3,0,0
246,ask call ok,ham,8,30,1,0,0
247,kalli wont bat nd inning,ham,6,31,1,0,0
248,didnt work oh ok goodnight fix readi time wake dearli miss good night sleep,ham,31,146,4,0,0
249,congratul ur award cd voucher gift guarant free entri wkli draw txt music tnc www ldew com win ppmx age,spam,24,150,12,2,1
250,ranjith cal drpd deeraj deepak min hold,ham,8,44,2,0,0
251,wen ur lovabl bcum angri wid u dnt take seriou coz angri childish n true way show deep affect care n luv kettoda manda nice day da,ham,34,179,3,0,1
252,,ham,6,27,1,0,0
253,day also ship compani take wk way usp take week get lag may bribe nipost get stuff,ham,37,179,2,0,0
254,back lemm know readi,ham,9,38,1,0,0
255,necessarili expect done get back though headin,ham,20,97,2,0,0
256,mmm yummi babe nice jolt suzi,ham,9,43,2,0,0
257,lover need,ham,7,36,2,0,0
258,tri contact repli offer video handset anytim network min unlimit text camcord repli call,spam,27,154,21,3,0
259,park next mini come today think,ham,17,74,7,1,0
260,yup,ham,1,3,1,0,0
261,anyway go shop co si done yet dun disturb u liao,ham,19,85,3,0,0
262,luton ring ur around h,ham,11,51,28,9,0
263,hey realli horni want chat see nake text hot text charg pm unsubscrib text stop,spam,25,121,2,0,0
264,dint come us,ham,6,26,2,0,0
265,wana plan trip sometm,ham,7,35,2,0,0
266,sure yet still tri get hold,ham,11,47,1,0,0
267,ur rington servic chang free credit go club mobil com choo content stop txt club stop p wk club po box mk wt,spam,29,159,20,3,1
268,evo download flash jealou,ham,9,47,3,0,0
269,rington club get uk singl chart mobil week choo top qualiti rington messag free charg,spam,24,133,6,1,1
270,come mu sort narcot situat,ham,10,53,1,0,0
271,night end anoth day morn come special way may smile like sunni ray leav worri blue blue bay,ham,29,147,2,0,0
272,hmv bonu special pound genuin hmv voucher answer easi question play send hmv info www percent real com,spam,29,155,26,5,0
273,usf guess might well take car,ham,9,37,2,0,0
274,object bf come,ham,6,31,2,0,0
275,thanx,ham,1,8,1,0,0
276,tell rob mack gf theater,ham,9,38,1,0,0
277,awesom see bit,ham,8,30,2,0,0
278,sent type food like,ham,11,47,2,0,0
279,done hand celebr full swing yet,ham,10,56,3,0,1
280,got call tool,ham,5,22,1,0,0
281,wen u miss someon,ham,4,19,1,0,0
282,ok ask money far,ham,7,29,2,0,0
283,oki,ham,1,7,1,0,0
284,yeah think usual guy still pass last night get ahold anybodi let know throw,ham,27,121,3,0,0
285,k might come tonight class let earli,ham,13,58,2,0,0
286,ok,ham,1,4,1,0,0
287,hi babi im cruisin girl friend r u give call hour home alright fone fone love jenni xxx,ham,35,148,0,0,0
288,life mean lot love life love peopl life world call friend call world ge,ham,33,160,10,0,0
289,dear shall mail tonit busi street shall updat tonit thing look ok varunnathu edukkukay raksha ollu good one real sen,ham,27,152,1,0,0
290,hey told name gautham ah,ham,8,37,1,0,0
291,haf u found feel stupid da v cam work,ham,13,55,2,0,0
292,oop got bit,ham,5,21,1,0,0
293,much buzi,ham,5,22,1,0,0
294,accid delet messag resend plea,ham,7,50,2,0,0
295,mobil custom may claim free camera phone upgrad pay go sim card loyalti call offer end thfeb c appli,spam,32,159,22,3,1
296,unless situat go gurl would appropri,ham,13,67,10,3,0
297,hurt tea make cri end life die plz keep one rose grave say stupid miss u nice day bslvyl,ham,35,153,34,6,0
298,cant pick phone right pl send messag,ham,11,51,2,0,0
299,need coff run tomo believ time week alreadi,ham,15,67,2,0,0
300,awesom rememb last time got somebodi high first time diesel v,ham,17,88,3,0,0
301,shit realli shock scari cant imagin second def night u think somewh could crash night save taxi,ham,31,157,3,0,0
302,oh way food fridg want go meal tonight,ham,21,91,2,0,0
303,womdar actor,ham,5,24,1,0,0
304,sm ac blind date u rodd aberdeen unit kingdom check http img sm ac w icmb cktz r blind date send hide,spam,28,146,19,2,0
305,yup remb think book,ham,11,57,3,0,0
306,jo ask u wana meet,ham,7,26,1,0,0
307,lol ye friendship hang thread cau u buy stuff,ham,15,71,2,0,0
308,themob check newest select content game tone gossip babe sport keep mobil fit funki text wap,spam,24,138,10,1,0
309,garag key bookshelf,ham,11,55,2,0,0
310,today accept day u accept brother sister lover dear best clo lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd rpli mean enemi,ham,25,156,26,2,0
311,think ur smart win week weekli quiz text play cs winnersclub po box uz gbp week,spam,29,134,21,3,1
312,say give call friend got money definit buy end week,ham,27,119,1,0,0
313,hi way u day normal way real ur uniqu hope know u rest mylif hope u find wot lost,ham,35,142,7,1,0
314,made day great day,ham,10,41,2,0,0
315,k k advanc happi pongal,ham,5,26,1,0,0
316,hmmm guess go kb n power yoga haha dunno tahan power yoga anot thk got lo oso forgot liao,ham,24,119,4,0,0
317,realli dude friend afraid,ham,9,46,1,0,0
318,decemb mobil mth entitl updat latest colour camera mobil free call mobil updat co free,spam,27,157,13,1,1
319,coff cake guess,ham,4,23,1,0,0
320,merri christma babe love ya kiss,ham,10,51,2,0,0
321,hey dont go watch x men lunch haha,ham,13,62,3,0,0
322,cud u tell ppl im gona b bit l co buse hav gon past co full im still waitin pete x,ham,27,107,1,0,0
323,would great guild could meet bristol road somewh get touch weekend plan take flight good week,ham,31,157,7,0,0
324,problem,ham,6,30,2,0,0
325,call messag miss call,ham,5,32,1,0,0
326,hi da today class,ham,7,31,1,0,0
327,say good sign well know track record read women,ham,18,79,1,0,0
328,cool text park,ham,7,32,1,0,0
329,read text sent meant joke read light,ham,21,86,3,0,0
330,k k apo k good movi,ham,6,22,1,0,0
331,mayb could get book tomo return immedi someth,ham,13,76,2,0,0
332,call germani penc per minut call fix line via access number prepay direct access,spam,24,128,5,0,0
333,chanc might evapor soon violat privaci steal phone number employ paperwork cool plea contact report supervisor,ham,44,232,4,0,0
334,valentin day special win quiz take partner trip lifetim send go p msg rcvd custcar,spam,30,159,9,1,1
335,ta daaaaa home babe still,ham,10,45,3,0,0
336,cool come havent wine dine,ham,11,57,2,0,1
337,sleep surf,ham,4,26,1,0,0
338,sorri call later,ham,5,22,2,0,0
339,u call right call hand phone,ham,8,41,2,0,0
340,ok great thanx lot,ham,7,28,1,0,0
341,take post come must text happi read one wiv hello carolin end favourit bless,ham,31,151,5,0,0
342,u hide stranger,ham,5,29,1,0,0
343,interest like,ham,7,34,1,0,0
344,sister clear two round birla soft yesterday,ham,9,52,1,0,0
345,gudnit tc practic go,ham,5,33,1,0,0
346,di yiju ju saw ur mail case huim havent sent u num di num,ham,20,85,4,0,0
347,one small prestig problem,ham,5,31,1,0,0
348,fanci shag interest sextextuk com txt xxuk suzi txt cost per msg tnc websit x,spam,23,111,15,2,0
349,check realli miss see jeremiah great month,ham,15,78,4,0,0
350,nah help never iphon,ham,12,50,2,0,0
351,car hour half go apeshit,ham,17,63,2,0,0
352,today sorri day ever angri ever misbehav hurt plz plz slap urself bcoz ur fault basic good,ham,31,148,28,5,0
353,yo guy ever figur much need alcohol jay tri figur much safe spend weed,ham,28,129,3,0,0
354,lt gt ish minut minut ago wtf,ham,9,45,26,6,0
355,thank call forgot say happi onam sirji fine rememb met insur person meet qatar insha allah rakhesh ex tata aig join tissco tayseer,ham,39,202,24,2,0
356,congratul ur award cd voucher gift guarant free entri wkli draw txt music tnc www ldew com win ppmx age,spam,24,150,12,2,1
357,ur cash balanc current pound maxim ur cash send cash p msg cc hg suit land row w j hl,spam,27,148,16,3,0
358,actor work work even sleep late sinc unemploy moment alway sleep late unemploy everi day saturday,ham,34,168,10,1,0
359,hello got st andrew boy long way cold keep post,ham,18,85,4,0,0
360,ha ha cool cool chikku chikku db,ham,7,38,3,1,0
361,oh ok prob,ham,4,15,1,0,0
362,check audrey statu right,ham,6,31,1,0,0
363,busi tri finish new year look forward final meet,ham,16,88,3,0,0
364,good afternoon sunshin dawn day refresh happi aliv breath air smile think love alway,ham,31,160,6,0,0
365,well know z take care worri,ham,12,50,3,0,0
366,updat xma offer latest motorola sonyericsson nokia free bluetooth doubl min txt orang call mobileupd call optout f q,spam,22,165,23,1,1
367,discount code rp stop messag repli stop www regalportfolio co uk custom servic,spam,19,129,6,0,0
368,wat uniform get,ham,5,26,2,0,0
369,cool text readi,ham,7,31,1,0,0
370,hello boytoy geeee miss alreadi woke wish bed cuddl love,ham,27,129,6,0,0
371,spoil bed well,ham,8,34,1,0,0
372,go bath msg next lt gt min,ham,12,54,1,0,0
373,cant keep talk peopl sure pay agr price pl tell want realli buy much pay,ham,37,162,2,0,0
374,thank rington order refer charg gbp per week unsubscrib anytim call custom servic,spam,26,157,10,1,0
375,say happen,ham,5,23,1,0,0
376,could seen recogni face,ham,11,53,2,0,0
377,well lot thing happen lindsay new year sigh bar ptbo blue heron someth go,ham,26,131,5,0,0
378,keep payasam rinu bring,ham,7,36,1,0,0
379,taught ranjith sir call sm like becau verifi project prabu told today pa dont mistak,ham,27,143,5,0,0
380,guess worri must know way bodi repair quit sure worri take slow first test guid ovul relax noth said reason worri keep followin,ham,64,300,6,0,1
381,yeah sure give coupl minut track wallet,ham,12,59,1,0,0
382,hey leav big deal take care,ham,9,42,1,0,0
383,hey late ah meet,ham,10,41,2,0,0
384,doubl min txt month free bluetooth orang avail soni nokia motorola phone call mobileupd call optout n dx,spam,23,149,17,1,1
385,took mr owl lick,ham,6,22,2,0,0
386,custom place call,ham,6,31,1,0,0
387,mm time dont like fun,ham,7,30,1,0,0
388,mth half price orang line rental latest camera phone free phone mth call mobilesdirect free updat stoptxt,spam,24,155,9,1,1
389,yup lunch buffet u eat alreadi,ham,9,47,2,0,0
390,huh late fr dinner,ham,5,25,2,0,0
391,hey sat go intro pilat kickbox,ham,16,80,2,0,0
392,morn ok,ham,5,22,1,0,0
393,ye think offic lap room think last day didnt shut,ham,28,115,3,0,0
394,pick bout ish time go,ham,12,56,2,0,0
395,perform award calcul everi two month current one month period,ham,17,102,2,0,0
396,actual sleep still might u call back text gr rock si send u text wen wake,ham,26,118,4,0,0
397,alway put busi put pictur ass facebook one open peopl ever met would think pictur room would hurt make feel violat,ham,44,221,4,0,0
398,good even sir al salam wahleykkum share happi news grace god got offer tayseer tissco join hope fine inshah allah meet sometim rakhesh visitor india,ham,38,204,19,1,0
399,hmmm k want chang field quickli da wanna get system administr network administr,ham,19,114,1,0,0
400,free rington text first poli text get true tone help st free tone x pw e nd txt stop,spam,34,158,21,4,1
401,dear chechi talk,ham,9,39,2,0,0
402,hair cream ship,ham,7,36,1,0,0
403,none happen til get though,ham,10,48,1,0,0
404,yep great loxahatch xma tree burn lt gt start hour,ham,14,77,1,0,0
405,haha get use drive usf man know lot stoner,ham,14,60,2,0,0
406,well slightli disastr class pm fav darl hope day ok coff wld good stay late tomorrow time place alway,ham,32,168,4,0,0
407,hello good week fanci drink someth later,ham,9,51,3,0,0
408,headin toward busetop,ham,3,22,1,0,0
409,messag text miss sender name miss number miss sent date miss miss u lot everyth miss sent via fullonsm com,ham,25,152,10,0,0
410,come room point iron plan weekend,ham,17,75,1,0,0
411,co want thing,ham,8,30,1,0,0
412,oki go yan jiu skip ard oso go cine den go mrt one blah blah blah,ham,21,95,3,0,0
413,bring home wendi,ham,5,24,3,0,0
414,date servic cal l box sk ch,spam,7,49,0,0,0
415,whatsup dont u want sleep,ham,7,35,2,0,0
416,alright new goal,ham,7,29,1,0,0
417,free entri weekli competit text word win c www txttowin co uk,spam,23,107,12,3,1
418,alright head minut text meet,ham,15,66,2,0,0
